datetime,open,high,low,close,volume,float
2019-04-09,4.812,4.812,4.812,4.812,0.0,
2019-04-10,4.815,4.815,4.815,4.815,0.0,
2019-04-11,4.806,4.806,4.806,4.806,0.0,
2019-04-12,4.796,4.796,4.796,4.796,0.0,
2019-04-16,4.787,4.787,4.787,4.787,0.0,
2019-04-17,4.79,4.79,4.79,4.79,0.0,
2019-04-18,4.78,4.78,4.78,4.78,0.0,
2019-04-19,4.774,4.774,4.774,4.774,0.0,
2019-04-22,4.754,4.754,4.754,4.754,0.0,
2019-04-23,4.76,4.76,4.76,4.76,0.0,
2019-04-24,4.764,4.764,4.764,4.764,0.0,
2019-04-25,4.759,4.759,4.759,4.759,0.0,
2019-04-26,4.764,4.764,4.764,4.764,0.0,
2019-05-02,4.761,4.761,4.761,4.761,0.0,
2019-05-03,4.754,4.754,4.754,4.754,0.0,
2019-05-06,4.776,4.776,4.776,4.776,0.0,
2019-05-07,4.776,4.776,4.776,4.776,0.0,
2019-05-08,4.773,4.773,4.773,4.773,0.0,
2019-05-09,4.773,4.773,4.773,4.773,0.0,
2019-05-10,4.77,4.77,4.77,4.77,0.0,
2019-05-13,4.761,4.761,4.761,4.761,0.0,
2019-05-14,4.757,4.757,4.757,4.757,0.0,
2019-05-15,4.752,4.752,4.752,4.752,0.0,
2019-05-16,4.741,4.741,4.741,4.741,0.0,
2019-05-17,4.743,4.743,4.743,4.743,0.0,
2019-05-20,4.743,4.743,4.743,4.743,0.0,
2019-05-21,4.737,4.737,4.737,4.737,0.0,
2019-05-22,4.738,4.738,4.738,4.738,0.0,
2019-05-23,4.735,4.735,4.735,4.735,0.0,
2019-05-24,4.729,4.729,4.729,4.729,0.0,
2019-05-27,4.727,4.727,4.727,4.727,0.0,
2019-05-28,4.722,4.722,4.722,4.722,0.0,
2019-05-29,4.714,4.714,4.714,4.714,0.0,
2019-05-30,4.708,4.708,4.708,4.708,0.0,
2019-05-31,4.701,4.701,4.701,4.701,0.0,
2019-06-03,4.682,4.682,4.682,4.682,0.0,
2019-06-04,4.694,4.694,4.694,4.694,0.0,
2019-06-05,4.693,4.693,4.693,4.693,0.0,
2019-06-06,4.676,4.676,4.676,4.676,0.0,
2019-06-07,4.659,4.659,4.659,4.659,0.0,
2019-06-10,4.678,4.678,4.678,4.678,0.0,
2019-06-11,4.669,4.669,4.669,4.669,0.0,
2019-06-12,4.672,4.672,4.672,4.672,0.0,
2019-06-13,4.679,4.679,4.679,4.679,0.0,
2019-06-14,4.672,4.672,4.672,4.672,0.0,
2019-06-17,4.66,4.66,4.66,4.66,0.0,
2019-06-18,4.659,4.659,4.659,4.659,0.0,
2019-06-19,4.668,4.668,4.668,4.668,0.0,
2019-06-20,4.66,4.66,4.66,4.66,0.0,
2019-06-21,4.657,4.657,4.657,4.657,0.0,
2019-06-24,4.655,4.655,4.655,4.655,0.0,
2019-06-25,4.653,4.653,4.653,4.653,0.0,
2019-06-26,4.671,4.671,4.671,4.671,0.0,
2019-06-27,4.659,4.659,4.659,4.659,0.0,
2019-06-28,4.654,4.654,4.654,4.654,0.0,
2019-07-01,4.668,4.668,4.668,4.668,0.0,
2019-07-02,4.65,4.65,4.65,4.65,0.0,
2019-07-03,4.652,4.652,4.652,4.652,0.0,
2019-07-04,4.628,4.628,4.628,4.628,0.0,
2019-07-05,4.613,4.613,4.613,4.613,0.0,
2019-07-08,4.613,4.613,4.613,4.613,0.0,
2019-07-09,4.613,4.613,4.613,4.613,0.0,
2019-07-10,4.595,4.595,4.595,4.595,0.0,
